เลขทะเบียน,ประกอบธุรกิจ,หมวดธุรกิจ,สถานะ,วันที่จดทะเบียน,ทุนจดทะเบียน,Website,ก่อตั้งโดย,ที่ตั้ง,ชื่อบริษัทภาษาอังกฤษ,ชื่อบริษัทภาษาไทย,ข้อมูลสำหรับการติดต่อ,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,หลักทรัพย์,วันที่เลิก,เบอร์โทร,ข้อมูลสำหรับติดต่อ,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน,ธุรกิจ
'0105529029590,การปลูกต้นยูคาลิปตัส,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,26/8/2529,100000000,,"กรรมการ: นายประพฤทธิ์ ไชยาวิจิตร, นายธนาภพ บุญนิมิตร, นางสาววรรณี จันทร์ไกรวัล",63/2 หมู่ที่ 12 ตำบลหัวหว้า อำเภอศรีมหาโพธิ จ.ปราจีนบุรี 25140,"NION AGRO INDUSRY CO., LTD.",บริษัท สหพนาสรรค์ จำกัด,False,https://www.dataforthai.com/company/0105529029590/,,,,,,,,,,,,,
'0105498000498,ปลูกพืชสวน และ ไม้ยูคาลิปตัส,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,18/4/2498,30000000,,"กรรมการ: นายชุมพล พรประภา, นางอโนทัย พรประภา, นายรักสนิท พรประภา, นายสถิตย์พงษ์ พรประภา",69 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร,SIAM MINERAL PROVPCTS COMPANY LIMITED,บริษัท สินแร่สยาม จำกัด,False,https://www.dataforthai.com/company/0105498000498/,,,,,,,,,,,,,
'0125560029776,การปลูกต้นไม้ยืนต้น,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,2/11/2560,67440800,,"กรรมการ: นางสาวเอมอร ศักดิ์อาภา, นางสาวจันทราวดี ศักดิ์อาภา, นางสาวอุดมศรี ศักดิ์อาภา, นายอภิชัย ศักดิ์อาภา, นายวชิราชัย ศักดิ์อาภา, นางสาวอาภร ศักดิ์อาภา, นางสาวศรีนฤมล ศักดิ์อาภา, นายชยุต ศักดิ์อาภา, นายธงชัย ศักดิ์อาภา",59/16 หมู่ที่ 4 ตำบลบางตลาด อำเภอปากเกร็ด จ.นนทบุรี 11120,YOO YEN PEN PHORN COMPANY LIMITED,บริษัท อยู่เย็นเป็นพร จำกัด,False,https://www.dataforthai.com/company/0125560029776/,,,,,,,,,,,,,
'0245555001400,,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,6/7/2555,200000000,,"กรรมการ: นายชวลิต สกุลดำรงค์พานิช, นางสาวอ้อมเดือน แฟนพิมาย",410 หมู่ที่ 12 ตำบลม่วงหวาน อำเภอน้ำพอง จ.ขอนแก่น 40310,ECO GREEN TREE COMPANY LIMITED,บริษัท อีโค่ กรีน ทรี จำกัด,False,https://www.dataforthai.com/company/0245555001400/,,,,,,,,,,,,,
'0105533098461,การเกษตรและปศุสัตว์,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,20/8/2533,65000000,,"กรรมการ: นายกฤตพัส โทณะวนิก, นางสาวเบญจมาลย์ สัมพันธ์นนท์, นายฐิติ คงสุข",947/73 ถนนบางนา-ตราด แขวงบางนา เขตพระโขนง กรุงเทพมหานคร,AKANUT AGRICULTURE COMPANY LIMITED,บริษัท เอกนัฏการเกษตร จำกัด,False,https://www.dataforthai.com/company/0105533098461/,,,,,'023618596,,,,,,,,
'0105554054616,การปลูกป่ากฤษณา,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,22/4/2554,200000000,,"กรรมการ: นางสาวจุฑามาส หุ่นพ่วง, นายโรเจอร์ เฟดเดอริค ฮาร์กรีฟส์, นายแบรี่ อัลลัน โรว์ลินสัน, นางจินดา ต้นคำใบ",518/3 ชั้น 4 อาคารมณียาเซ็นเตอร์ นอธ ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,"ASIA PLANTATION CAPITAL HOLDINGS CO.,LTD.",บริษัท เอเชีย แพลนเตชั่น แคปปิตอล โฮลดิ้งส์ จำกัด,False,https://www.dataforthai.com/company/0105554054616/,,,,,'0268410823,,,,,,,,
'0115549005866,การปลูกไม้ยืนต้นประเภทอื่น,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,2/6/2549,140000000,,"กรรมการ: นายถาวร ทองพิทักษ์ถาวร, นางสาวจิราภรณ์ ขจรวงศ์ไพศาล, นายเปมินทร์ เศวตศิลา, นายกฤษดา จันทรสมบัติ, นางสาววาสนา กระชน",51 หมู่ที่ 12 ซอยมิตรภาพ ถนนบางนา-ตราด ตำบลบางแก้ว อำเภอบางพลี จ.สมุทรปราการ 10540,ASIA ALFA GREEN COMPANY LIMITED,บริษัท เอเชีย อัลฟา กรีน จำกัด,False,https://www.dataforthai.com/company/0115549005866/,,,,,,,,,,,,,
'0105544101573,ผลิต แปรรูป และจัดจำหน่ายผลผลิตทางการเกษตรแผนใหม่(ระบบไฮโดรโปรนิกส์),การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,17/10/2544,50000000,https://www.ackfoodtech.com/wordpress/,"กรรมการ: นายเกษมสันต์ เคียงศิริ, นางสาวพัณณิดา เคียงศิริ, นายพาสันต์ เคียงศิริ",933 ถนนอ่อนนุช แขวงอ่อนนุช เขตสวนหลวง กรุงเทพมหานคร 10250,"ACK HYDRO FARM CO.,LTD.",บริษัท เอซีเค ไฮโดรฟาร์ม จำกัด,False,https://www.dataforthai.com/company/0105544101573/,ดูตำแหน่งงานจาก JOBTHAI,,,,'023331125,,,,,,,,
'0105518005961,,การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,18/6/2518,40100000,,"กรรมการ: นางลิ่ม ซก เฉี้ยง, นางสาวสุกัญญา เจริญศักดิ์ศิริ, นางตัน ซุน เกียง, นางสาวมลรัฐ แซ่ยับ, นางสาวอรุณี เจริญศักดิ์ศิริ, นางสาววีณา ลิ่มชัยกุล",733 ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,"WORLD FOOD CO., LTD.",บริษัท ไฮเทค อุตสาหกรรม เคมี จำกัด,False,https://www.dataforthai.com/company/0105518005961/,,,,,'022359316,,,,,,,,
'0105556056691,การทำสวนไม้ประดับและการขยายพันธุ์พืช,การทำสวนไม้ประดับ,ยังดำเนินกิจการอยู่,1/4/2556,80000000,,กรรมการ: นางโศภิต พิศาลสกุลรักษ์,573/129 ซอยรามคำแหง 39 (เทพลีลา 1) แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,HAPPYLAND HEALTH PARK COMPANY LIMITED,บริษัท สวนสุขภาพแฮปปี้แลนด์ จำกัด,False,https://www.dataforthai.com/company/0105556056691/,ดูตำแหน่งงานจาก JOBBKK,,,,'025593148,,,,,,,,
'0245563001863,การขายส่งวัตถุดิบอื่นทางการเกษตร,การขายส่งวัตถุดิบอื่นๆทางการเกษตรซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,16/6/2563,113000000,,"กรรมการ: นายวีรพงศ์ กิตติรัตนวิวัฒน์, นายกัว เหว่ย, นายหลี่ หลง",88 หมู่ที่ 13 ตำบลศาลาแดง อำเภอบางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24000,"KASET THAI SUSTAINABLE CO., LTD.",บริษัท เกษตรไทยยั่งยืน จำกัด,False,https://www.dataforthai.com/company/0245563001863/,,,,,,,,,,,,,
'0405547001160,การปลูกธัญพืชและพืชชนิดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น (โรงอบเมล็ดพืช),การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,22/10/2547,33000000,,"กรรมการ: นายเสี่ยว ติ้ง ชาง, นางช่วย โหล่ย, นางสาวเยาวพา จรุงทวีเวทย์, นางสุภาพร ลิ้มวานิชย์, นายเถียน ฟูกวง","310,310/4 หมู่ที่ 3 ตำบลบ้านทุ่ม อำเภอเมืองขอนแก่น จ.ขอนแก่น 40000",CORNUCOPIA COMPANY LIMITED,บริษัท คอร์นยูโคเปีย จำกัด,False,https://www.dataforthai.com/company/0405547001160/,,,,,'043255173,,,,,,,,
'0105560088659,การเพาะเห็ด,การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,31/5/2560,1000000000,https://soronbiotechnology.net/,"กรรมการ: นายวีรพงศ์ กิตติรัตนวิวัฒน์, นายสมภพ เพทายบรรลือ, นายกัว เหว่ย, นายจาง เจียหยวน, นายหลี่ หลง",88-89 หมู่ที่ 13 ตำบลศาลาแดง อำเภอบางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24000,SORON BIOTECHNOLOGY (THAILAND) COMPANY LIMITED,บริษัท โซรอน ไบโอเทคโนโลยี (ประเทศไทย) จำกัด,False,https://www.dataforthai.com/company/0105560088659/,,,,,'033590889,,,,,,,,
'0105564071793,,การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,28/4/2564,435000000,https://nusacsr.com/,"กรรมการ: นายวิษณุ เทพเจริญ, นางศิริญา เทพเจริญ, นายอุดม -, นายสมพงษ์ หม่อโป๊ะกู่",2922/209 อาคารชาญอิสสระทาวเวอร์ 2 ชั้นที่ 13(12เอ) ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,"NUSA CSR CO., LTD.",บริษัท ณุศา ซีเอสอาร์ จำกัด,False,https://www.dataforthai.com/company/0105564071793/,ดูตำแหน่งงานจาก JOBTOPGUN,,,,'0926361565,,,,,,,,
'0115565002108,สวนกัญชง กัญชา และผลผลิตกัญชง กัญชา,การปลูกพืชอื่นๆประเภทเครื่องเทศเครื่องหอมยารักษาโรค และพืชทางเภสัชภัณฑ์ซึ่งมิได้จัดประเภทไว้ในที่อื่น,ยังดำเนินกิจการอยู่,20/1/2565,50000000,https://www.thaitex.com/home#intro,"กรรมการ: นางสาวฉลองขวัญ วงศาสุทธิกุล, นายภัทรพล วงศาสุทธิกุล, นายโกวิท วงศาสุทธิกุล, นายประวิทย์ วรประทีป, นายประกิต วรประทีป, นายชาญชัย กงทองลักษณ์, นายประเสริฐ ลีละบรรยงค์",99/1-3 หมู่ที่ 13 ถนนบางนา-ตราด กม.ที่ 7 ตำบลบางแก้ว อำเภอบางพลี จ.สมุทรปราการ 10540,"THAITEX CBD SMART FARM CO., LTD.",บริษัท ไทยเท็คซ์ ซีบีดี สมาร์ท ฟาร์ม จำกัด,False,https://www.dataforthai.com/company/0115565002108/,,,,,'020332333,,,,,,,,
'0105562077930,,การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,29/4/2562,100000000,,"กรรมการ: นายไกรสร จันศิริ, นายดิสพล จันศิริ, นายธีรพงศ์ จันศิริ, นายเดชพล จันศิริ, นายหลิน เจี้ยนฟุง, นายโชว คิน ซัน, นายก่วน เม้าโหย่ว, นางโจว หยินเหม่ย",979/2 อาคารเอส เอ็ม ทาวเวอร์ ชั้นที่ 11 ถนนพหลโยธิน แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400,"THAI UNION EAGLEWOOD DEVELOPMENT CO., LTD.",บริษัท ไทยยูเนี่ยนพัฒนาไม้กฤษณา จำกัด,False,https://www.dataforthai.com/company/0105562077930/,,,,,,,,,,,,,
'0575533000017,01302-การปลูกไม้ผลยืนต้นอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,3/1/2533,30000000,,"กรรมการ: คุณหญิงพวงร้อย ดิศกุล ณ อยุธยา, นายประเสริฐ ตรงเจริญเกียรติ, หม่อมหลวงดิศปนัดดา ดิศกุล, นางสาวภัสสิรักษ์ นวลสกุล",99 หมู่ที่ 7 ตำบลแม่ฟ้าหลวง อำเภอแม่ฟ้าหลวง จ.เชียงราย 57240,,บริษัท นวุตะยายุ จำกัด,False,https://www.dataforthai.com/company/0575533000017/,,,,,,,,,,,,,
'0105564162586,เพาะพันธุ์ เพาะเมล็ดพันธุ์ พืชสมุนไพร เพื่อทำการปลูก วิจัยและแปรรูป,การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,11/11/2564,100000000,,"กรรมการ: นายณัฏฐ์พิชัย จงวัฒนา, นายฮิเดอากิ นากาโอะ, นายนิวัฒน์ สุริยะกมล, นายฮิเดโตชิ อูเมกิ, นายภารดร วิไลกุล, นายเชน สุขสวี, นางอรพินทร์ พญาพิทักษ์สกุล",32/23 อาคารซิโน-ไทย ทาวเวอร์ ชั้นที่ 2 ถนนสุขุมวิท 21 (อโศก) แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,SIAM AGRI-BIO COMPANY LIMITED,บริษัท สยาม อะกริ-ไบโอ จำกัด,False,https://www.dataforthai.com/company/0105564162586/,,,,,,,,,,,,,
'0105527004948,ผลิตและจำหน่ายเมล็ดพันธุ์พืชผัก,การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,1/2/2527,126820000,www.sorndaengseed.com,"กรรมการ: นายฌอง-คริสตอฟ อังเดร ฟรังซัวส์ ฟิลิปปิ, นายโยฮันเนส โจซีฟัส มาเรีย แวน เอลซาร์คเคอร์, นางรานีวรรณ รามศิริ",50/1 หมู่ที่ 2 ถนนไทรน้อย-บางบัวทอง ตำบลไทรน้อย อำเภอไทรน้อย จ.นนทบุรี 11150,"EAST WAST SED CO., LTD.",บริษัท อีสท์ เวสท์ ซีด จำกัด,False,https://www.dataforthai.com/company/0105527004948/,,,,,'020206000,,,,,,,,
'0105527029991,"ผลิตและจำหน่ายเมล็ดพันธุ์พืชจำหน่ายปุ๋ย - ยา , วัสดุอุปกรณ์การเกษตร",การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,20/8/2527,50000000,https://www.aguniversal.com/th/,กรรมการ: นางสาวสุดสวาท จิรัปปภา,103 หมู่ที่ 5 ตำบลบ้านค้อ อำเภอเมืองขอนแก่น จ.ขอนแก่น 40000,A.G.UNIVERSAL COMPANY LIMITED,บริษัท เอ.จี.ยูนิเวอร์แซล จำกัด,False,https://www.dataforthai.com/company/0105527029991/,,,,,'043424364,,,,,,,,
'0135555007344,,การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,26/4/2555,150000000,,"กรรมการ: นายชวลิต สกุลดำรงค์พานิช, นายณัฏฐ์ ทรงเมตตา, นายพรเมตต์ ทรงเมตตา",410 หมู่ที่ 12 ตำบลม่วงหวาน อำเภอน้ำพอง จ.ขอนแก่น 40310,SM FARM FREE COMPANY LIMITED,บริษัท เอสเอ็ม ฟาร์ม ทรี จำกัด,False,https://www.dataforthai.com/company/0135555007344/,,,,,,,,,,,,,
'0245551000760,ผลิตต้นกล้า เพื่อการค้าและจำหน่าย,การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,3/6/2551,199000000,https://www.sciencepark.or.th/th/,"กรรมการ: นายชวลิต สกุลดำรงค์พานิช, นางสาวอ้อมเดือน แฟนพิมาย",131 อาคารกลุ่มนวัตกรรม 1 ชั้นที่ 4 อุทยานวิทยาศาสตร์แห่งประเทศไทย หมู่ที่ 9 ถนนพหลโยธิน ตำบลคลองหนึ่ง อำเภอคลองหลวง จ.ปทุมธานี,"ADVANCE ASIAN CO.,LTD.",บริษัท แอ๊ดวานซ์อาเชี่ยน จำกัด,False,https://www.dataforthai.com/company/0245551000760/,,,,,'025647200,,,,,,,,
'0105560190160,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่เพื่อเป็นที่พักอาศัย,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองที่ไม่ใช่ เพื่อเป็นที่พักอาศัย,ยังดำเนินกิจการอยู่,13/11/2560,68288500,,"กรรมการ: พันตรีจีรพล ตั้งตรงจิตร, นางสาวคณารัตน์ เลิศหิรัญวิบูลย์",39/28 ซอยเจริญกรุง 80 แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120,ASSETS BOX COMPANY LIMITED,บริษัท แอสเซทบ๊อกซ์ จำกัด,False,https://www.dataforthai.com/company/0105560190160/,,,,,,,,,,,,,
'0505564012416,ประกอบกิจการปลูกพืช การเพาะพันธุ์ และ การขายพันธุ์พืชอื่นๆ,การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,ยังดำเนินกิจการอยู่,27/7/2564,60000000,,"กรรมการ: นายเย้ ปี้ ฮู, นางสาวอี น่า ฮู, นายหยวน เจียง เลี่ยว, นายเจีย หลิน เลี่ยว, นางสาวหลิง เฉิน",208/92 หมู่ที่ 7 ตำบลสุเทพ อำเภอเมืองเชียงใหม่ จ.เชียงใหม่ 50200,"HANAMI HOLDING CO., LTD.",บริษัท ฮานามิ โฮลดิ้ง จำกัด,False,https://www.dataforthai.com/company/0505564012416/,,,,,,,,,,,,,
'0305555001310,ฟาร์มปศุสัตว์ โคนม,การเลี้ยงโคนมและโคเนื้อ,ยังดำเนินกิจการอยู่,30/3/2555,50000000,,"กรรมการ: นายอิศรา สุวัฒโนดม, นางสุดาพร สุวัฒโนดม",102 ถนนมุขมนตรี ตำบลในเมือง อำเภอเมืองนครราชสีมา จ.นครราชสีมา 30000,"MEEFAR 1989 CO., LTD.",บริษัท มีฟ้า 1989 จำกัด,False,https://www.dataforthai.com/company/0305555001310/,,,,,,,,,,,,,
'0105535159076,เลี้ยงสัตว์,การเลี้ยงโคนมและโคเนื้อ,ยังดำเนินกิจการอยู่,27/11/2535,200000000,,กรรมการ: นายคนึง รัตนวรรณนุกูล,23 ห้อง 216 ชั้นที่ 2 อาคารเซ็นทรัลเพลส ซอยรามคำแหง 22 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร,"KLONG DAAN MARINE AND FISHERY CO., LTD.",บริษัท คลองด่านมารีน แอนด์ ฟิชเชอรี่ จำกัด,False,https://www.dataforthai.com/company/0105535159076/,,,,,,,,,,,,,
'0625556000331,การเลี้ยงโคและกระบือ,การเลี้ยงโคนมและโคเนื้อ,ยังดำเนินกิจการอยู่,19/7/2556,200000000,https://www.torchfarmer.com/,"กรรมการ: นายประเสริฐ อัครศิริกาญจนะ, นางศุภากร อัครศิริกาญจนะ, นางบำเพ็ญ สิงห์หล้า",77 หมู่ที่ 6 ตำบลคุยบ้านโอง อำเภอพรานกระต่าย จ.กำแพงเพชร 62110,TORCH KHON LIANG WUA COMPANY LIMITED,บริษัท ทอช คนเลี้ยงวัว จำกัด,False,https://www.dataforthai.com/company/0625556000331/,,,,,'0805194940,,,,,,,,
'0105521023304,"ฟาร์มโคนม,น้ำนมดิบ บริการ,เบ็ดเตล็ดอื่นๆ",การเลี้ยงโคนมและโคเนื้อ,ยังดำเนินกิจการอยู่,14/12/2521,35000000,www.farmchokchai.com,"กรรมการ: นายโชคชัย บูลกุล, นางสุจริต บูลกุล, นายโชค บูลกุล, นายชัย บูลกุล, นางสาววิเวียน ภักดีประสงค์, นางมาลี วรวุฒิ, นายมานิต ทรามาศ",294 หมู่ที่ 8 ถนนวิภาวดีรังสิต ตำบลคูคต อำเภอลำลูกกา จ.ปทุมธานี 12130,CHOKCHAI DAIRY FARM COMPANY LIMITED,บริษัท ฟาร์มโชคชัย จำกัด,False,https://www.dataforthai.com/company/0105521023304/,,,,,'025322846,,,,,,,,
'0525549000062,ประกอบกิจการเพาะเลี้ยงและจำหน่ายพันธุ์โค,การเลี้ยงโคนมและโคเนื้อ,ยังดำเนินกิจการอยู่,23/2/2549,130000000,,กรรมการ: นางสาวสิริน ตรีทอง,240 หมู่ที่ 2 ถนนลำปาง-เชียงใหม่ ตำบลปงยางคก อำเภอห้างฉัตร จ.ลำปาง 52190,"HANGCHAT RANCH CO.,LTD.",บริษัท ห้างฉัตรแรนช์ จำกัด,False,https://www.dataforthai.com/company/0525549000062/,,,,,'054268689,,,,,,,,
'0905562004919,,การเลี้ยงโคนมและโคเนื้อ,ยังดำเนินกิจการอยู่,11/9/2562,52000000,,"กรรมการ: นายสุธานนท์ เดชเกิด, นายเจริญ เดชเกิด",88/8 หมู่ที่ 8 ตำบลกำแพงเพชร อำเภอรัตภูมิ จ.สงขลา 90180,"ALLSEASON KINGDOM CO., LTD.",บริษัท ออลซีซัน คิงดอม จำกัด,False,https://www.dataforthai.com/company/0905562004919/,,,,,,,,,,,,,
'0135545000053,"เลี้ยงสัตว์ ทำฟาร์มแพะ รีดนมแพะนมสด บรรจุกระป๋องหรือภาชนะอื่น,เนื้อสัตว์บรรจุกระป๋อง",การเลี้ยงกระบือนมและกระบือเนื้อ,ยังดำเนินกิจการอยู่,3/1/2545,150000000,,"กรรมการ: นายภัควัฒน์ นฤภัทรมโนสิทธิ์, นายพิบูล ลิมปิวิวัฒน์กุล, นายแอนโตนิ ชอย ลอร์เรนซ์, นายคริสโตเฟอร์ ชอย คัมวิง, นางศันสนีย์ บูลกุล",111/20 หมู่ที่ 3 ตำบลบ้านใหม่ อำเภอเมืองปทุมธานี จ.ปทุมธานี 12000,"MAH BOONKRONG DAIRY FARM CO., LTD.",บริษัท มาบุญครอง แดรี่ โกทส์ จำกัด,False,https://www.dataforthai.com/company/0135545000053/,,,,,'029639168,,,,,,,,
'0605549000291,เลี้ยงและจำหน่าย สุกร และไก่,การเลี้ยงสุกร,ยังดำเนินกิจการอยู่,17/5/2549,50000000,,กรรมการ: นายอดุลย์ คำพงษ์,28 หมู่ที่ 13 ตำบลหนองกรด อำเภอบรรพตพิสัย จ.นครสวรรค์ 60180,KANOKWAN FARM COMPANY LIMITED,บริษัท กนกวรรณฟาร์ม จำกัด,False,https://www.dataforthai.com/company/0605549000291/,,,,,'0865515710,,,,,,,,
'0725545000279,เลี้ยงสุกรเพื่อจำหน่าย,การเลี้ยงสุกร,ยังดำเนินกิจการอยู่,18/7/2545,50000000,,กรรมการ: นายหาญศักดิ์ รักซ้อน,48/1 หมู่ที่ 1 ตำบลกระเสียว อำเภอสามชุก จ.สุพรรณบุรี 72130,"GAVANGPAISAN FARM CO.,LTD.",บริษัท กว้างไพศาล ฟาร์ม จำกัด,False,https://www.dataforthai.com/company/0725545000279/,,,,,'035481188,,,,,,,,
'0705536000172,ฟาร์มเลี้ยงสุกร,การเลี้ยงสุกร,ยังดำเนินกิจการอยู่,1/3/2536,50000000,,"กรรมการ: นายวิวัฒน์ นิติกาญจนา, นายอริยนัทธ์ รังษีเสริมสุข, นางสาวชนกนันท์ นิติกาญจนา, นายจิรเดช นิติกาญจนา",194 หมู่ที่ 11 ตำบลทุ่งหลวง อำเภอปากท่อ จ.ราชบุรี 70140,KANCHANA HYBRID COMPANY LIMITED,บริษัท กาญจนาไฮบริด จำกัด,False,https://www.dataforthai.com/company/0705536000172/,,,,,'032327745,,,,,,,,
'0705561003236,,การเลี้ยงสุกร,ยังดำเนินกิจการอยู่,7/11/2561,47000000,,"กรรมการ: นางสาวจุฬาพัฒน์ กลิ่นสุคนธ์, นายภูเบศ กลิ่นแก้ว",99/5 หมู่ที่ 6 ตำบลหนองกวาง อำเภอโพธาราม จ.ราชบุรี 70120,GROWNONE FARM COMPANY LIMITED,บริษัท โกรนวัน ฟาร์ม จำกัด,False,https://www.dataforthai.com/company/0705561003236/,,,,,'032720215,,,,,,,,
'0405558002936,เลี้ยงสุกรทำฟาร์มสุกรรวมถึงการผลิตผลิตภัณฑ์ที่เป็นผลิตผลของสัตว์ดังกล่าว,การเลี้ยงสุกร,ยังดำเนินกิจการอยู่,2/11/2558,100000000,,กรรมการ: นายสุจินต์ เรืองชยจตุพร,88 หมู่ที่ 14 ตำบลนาโพธิ์ อำเภอกุดรัง จ.มหาสารคาม 44130,KHWANSIRI KARN KASET (2015) COMPANY LIMITED,บริษัท ขวัญสิริการเกษตร(2015) จำกัด,False,https://www.dataforthai.com/company/0405558002936/,,,,,,,,,,,,,
'0705537000788,ฟาร์มเลี้ยงสุกร,การเลี้ยงสุกร,ยังดำเนินกิจการอยู่,10/11/2537,45000000,,"กรรมการ: นางสาวศรินทิพย์ จันทรบัญชร, นายธงชัย เดชอินทรนารักษ์, นายเกียรติ์ เดชอินทรนารักษ์",315-317 ถนนมาลัยแมน ตำบลหนองปากโลง อำเภอเมืองนครปฐม จ.นครปฐม 73000,,บริษัท เขาอ้อม จำกัด,False,https://www.dataforthai.com/company/0705537000788/,,,,,'034259163,,,,,,,,
'0705560003879,เลี้ยงสุกร,การเลี้ยงสุกร,ยังดำเนินกิจการอยู่,15/12/2560,44000000,,"กรรมการ: นายพุฒิพงศ์ โฆษิตกิตติวณิชย์, นางธนิษฐา โฆษิตกิตติวณิชย์",112/1 หมู่ที่ 5 ตำบลดอนทราย อำเภอปากท่อ จ.ราชบุรี 70140,KOS FARM COMPANY LIMITED,บริษัท เคโอเอส ฟาร์ม จำกัด,False,https://www.dataforthai.com/company/0705560003879/,,,,,,,,,,,,,
'0205556014092,ผลิตและจำหน่ายลูกสุกร สุกรเนื้อ สุกรขุน รวมทั้งเพาะพ่อพันธุ์ แม่พันธุ์เพื่อจำหน่าย,การเลี้ยงสุกร,ยังดำเนินกิจการอยู่,25/4/2556,60000000,,"กรรมการ: นางอุษา ชัยอารีราษฎร์, นายจิรวัฒน์ ชัยอารีราษฎร์, นางสาวปิยวรรณ ชัยอารีราษฎร์",555/6 หมู่ที่ 5 ตำบลหนองอิรุณ อำเภอบ้านบึง จ.ชลบุรี 20220,JAKKRIT FARM [2013] COMPANY LIMITED,บริษัท จักรกริชฟาร์ม (2013) จำกัด,False,https://www.dataforthai.com/company/0205556014092/,,,,,'0819882891,,,,,,,,
'0705558001881,เลี้ยงและเพาะพันธุ์สุกร,การเลี้ยงสุกร,ยังดำเนินกิจการอยู่,20/10/2558,500000000,,"กรรมการ: นายชาคริต สมบูรณ์เจริญชัย, นายปรีชา สมบูรณ์เจริญชัย, นายชยานิน ใจอ่อนน้อม, นายศรายุทธ กิตติวัฒนากูล",43 หมู่ที่ 4 ตำบลพระยาบันลือ อำเภอลาดบัวหลวง จ.พระนครศรีอยุธยา 13230,CHAROENCHAI FARM GROUP COMPANY LIMITED,บริษัท เจริญชัยฟาร์มกรุ๊ป จำกัด,False,https://www.dataforthai.com/company/0705558001881/,,,,,'035750795,,,,,,,,
